x,y,das,treatment,area,source,date
563769.1374355073,5705688.87192,154.0,treated,non-inoculated,observation,2022-09-01
563772.1932108696,5705688.87192,167.0,treated,non-inoculated,observation,2022-09-14
563778.3047615942,5705688.87192,166.0,treated,non-inoculated,observation,2022-09-13
563756.914334058,5705683.76256,154.0,treated,non-inoculated,observation,2022-09-01
563763.0258847827,5705683.76256,167.0,treated,non-inoculated,observation,2022-09-14
563772.1932108696,5705683.76256,166.0,treated,non-inoculated,observation,2022-09-13
563778.3047615942,5705683.76256,154.0,treated,non-inoculated,observation,2022-09-01
563692.7430514493,5705678.6532,167.0,treated,non-inoculated,observation,2022-09-14
563708.0219282608,5705678.6532,162.0,treated,non-inoculated,observation,2022-09-09
563711.0777036232,5705678.6532,167.0,treated,non-inoculated,observation,2022-09-14
563714.1334789855,5705678.6532,167.0,treated,non-inoculated,observation,2022-09-14
563756.914334058,5705678.6532,154.0,treated,non-inoculated,observation,2022-09-01
563763.0258847827,5705678.6532,167.0,treated,non-inoculated,observation,2022-09-14
563766.081660145,5705678.6532,157.0,treated,non-inoculated,observation,2022-09-04
563769.1374355073,5705678.6532,167.0,treated,non-inoculated,observation,2022-09-14
563772.1932108696,5705678.6532,161.0,treated,non-inoculated,observation,2022-09-08
563775.2489862319,5705678.6532,157.0,treated,non-inoculated,observation,2022-09-04
563683.5757253623,5705673.5438399995,125.0,treated,non-inoculated,observation,2022-08-03
563686.6315007246,5705673.5438399995,145.0,treated,non-inoculated,observation,2022-08-23
563692.7430514493,5705673.5438399995,123.0,treated,non-inoculated,observation,2022-08-01
563695.7988268116,5705673.5438399995,163.0,treated,non-inoculated,observation,2022-09-10
563698.8546021739,5705673.5438399995,163.0,treated,non-inoculated,observation,2022-09-10
563701.9103775362,5705673.5438399995,153.0,treated,non-inoculated,observation,2022-08-31
563704.9661528985,5705673.5438399995,166.0,treated,non-inoculated,observation,2022-09-13
563708.0219282608,5705673.5438399995,154.0,treated,non-inoculated,observation,2022-09-01
563711.0777036232,5705673.5438399995,135.0,treated,non-inoculated,observation,2022-08-13
563714.1334789855,5705673.5438399995,166.0,treated,non-inoculated,observation,2022-09-13
563756.914334058,5705673.5438399995,167.0,treated,non-inoculated,observation,2022-09-14
563763.0258847827,5705673.5438399995,166.0,treated,non-inoculated,observation,2022-09-13
563766.081660145,5705673.5438399995,157.0,treated,non-inoculated,observation,2022-09-04
563769.1374355073,5705673.5438399995,167.0,treated,non-inoculated,observation,2022-09-14
563772.1932108696,5705673.5438399995,161.0,treated,non-inoculated,observation,2022-09-08
563775.2489862319,5705673.5438399995,157.0,treated,non-inoculated,observation,2022-09-04
563683.5757253623,5705668.434479999,167.0,treated,non-inoculated,observation,2022-09-14
