x,y,cc,treatment,area,source
563658.8626185125,5705638.008472317,74.0,untreated,non-inoculated,uas
563666.5205035266,5705638.008472317,69.0,untreated,non-inoculated,uas
563674.1783885406,5705638.008472317,70.0,untreated,non-inoculated,uas
563582.2837683719,5705630.350587303,77.0,untreated,non-inoculated,uas
563589.941653386,5705630.350587303,73.0,untreated,non-inoculated,uas
563597.5995384001,5705630.350587303,72.0,untreated,non-inoculated,uas
563651.2047334985,5705630.350587303,69.0,untreated,non-inoculated,uas
563658.8626185125,5705630.350587303,76.0,untreated,non-inoculated,uas
563666.5205035266,5705630.350587303,70.0,untreated,non-inoculated,uas
563674.1783885406,5705630.350587303,74.0,untreated,non-inoculated,uas
563582.2837683719,5705622.692702289,70.0,untreated,non-inoculated,uas
563589.941653386,5705622.692702289,75.0,untreated,non-inoculated,uas
563597.5995384001,5705622.692702289,73.0,untreated,non-inoculated,uas
563605.257423414,5705622.692702289,80.0,untreated,non-inoculated,uas
563643.5468484844,5705622.692702289,69.0,untreated,non-inoculated,uas
563651.2047334985,5705622.692702289,69.0,untreated,non-inoculated,uas
563658.8626185125,5705622.692702289,77.0,untreated,non-inoculated,uas
563666.5205035266,5705622.692702289,72.0,untreated,non-inoculated,uas
563674.1783885406,5705622.692702289,72.0,untreated,non-inoculated,uas
563582.2837683719,5705615.034817275,68.0,untreated,non-inoculated,uas
563589.941653386,5705615.034817275,71.0,untreated,non-inoculated,uas
563597.5995384001,5705615.034817275,76.0,untreated,non-inoculated,uas
563605.257423414,5705615.034817275,75.0,untreated,non-inoculated,uas
563643.5468484844,5705615.034817275,68.0,untreated,non-inoculated,uas
563651.2047334985,5705615.034817275,68.0,untreated,non-inoculated,uas
563658.8626185125,5705615.034817275,75.0,untreated,non-inoculated,uas
563666.5205035266,5705615.034817275,71.0,untreated,non-inoculated,uas
563582.2837683719,5705607.376932261,70.0,untreated,non-inoculated,uas
563589.941653386,5705607.376932261,70.0,untreated,non-inoculated,uas
563597.5995384001,5705607.376932261,76.0,untreated,non-inoculated,uas
563605.257423414,5705607.376932261,69.0,untreated,non-inoculated,uas
563612.9153084281,5705607.376932261,68.0,untreated,non-inoculated,uas
563620.5731934422,5705607.376932261,69.0,untreated,non-inoculated,uas
563628.2310784563,5705607.376932261,73.0,untreated,non-inoculated,uas
563635.8889634704,5705607.376932261,68.0,untreated,non-inoculated,uas
563643.5468484844,5705607.376932261,65.0,untreated,non-inoculated,uas
563651.2047334985,5705607.376932261,69.0,untreated,non-inoculated,uas
563658.8626185125,5705607.376932261,70.0,untreated,non-inoculated,uas
563666.5205035266,5705607.376932261,68.0,untreated,non-inoculated,uas
563651.2047334985,5705599.7190472465,68.0,untreated,non-inoculated,uas
563658.8626185125,5705599.7190472465,64.0,untreated,non-inoculated,uas
563666.5205035266,5705599.7190472465,62.0,untreated,non-inoculated,uas
563720.125698625,5705691.613667415,78.0,treated,inoculated,uas
563727.7835836391,5705691.613667415,87.0,treated,inoculated,uas
563735.4414686532,5705691.613667415,84.0,treated,inoculated,uas
563743.0993536672,5705691.613667415,82.0,treated,inoculated,uas
563720.125698625,5705683.955782401,79.0,treated,inoculated,uas
563727.7835836391,5705683.955782401,82.0,treated,inoculated,uas
563735.4414686532,5705683.955782401,84.0,treated,inoculated,uas
563743.0993536672,5705683.955782401,85.0,treated,inoculated,uas
563750.7572386813,5705683.955782401,89.0,treated,inoculated,uas
563720.125698625,5705676.297897387,84.0,treated,inoculated,uas
563727.7835836391,5705676.297897387,79.0,treated,inoculated,uas
563735.4414686532,5705676.297897387,85.0,treated,inoculated,uas
563743.0993536672,5705676.297897387,81.0,treated,inoculated,uas
563750.7572386813,5705676.297897387,86.0,treated,inoculated,uas
563720.125698625,5705668.640012373,80.0,treated,inoculated,uas
563727.7835836391,5705668.640012373,75.0,treated,inoculated,uas
563735.4414686532,5705668.640012373,78.0,treated,inoculated,uas
563743.0993536672,5705668.640012373,77.0,treated,inoculated,uas
563750.7572386813,5705668.640012373,86.0,treated,inoculated,uas
563727.7835836391,5705660.982127359,74.0,treated,inoculated,uas
563735.4414686532,5705660.982127359,76.0,treated,inoculated,uas
563743.0993536672,5705660.982127359,75.0,treated,inoculated,uas
563720.125698625,5705645.666357331,76.0,treated,inoculated,uas
563727.7835836391,5705645.666357331,75.0,treated,inoculated,uas
563712.4678136109,5705638.008472317,72.0,treated,inoculated,uas
563720.125698625,5705638.008472317,70.0,treated,inoculated,uas
563727.7835836391,5705638.008472317,71.0,treated,inoculated,uas
563735.4414686532,5705638.008472317,65.0,treated,inoculated,uas
563743.0993536672,5705638.008472317,71.0,treated,inoculated,uas
563712.4678136109,5705630.350587303,73.0,treated,inoculated,uas
563720.125698625,5705630.350587303,66.0,treated,inoculated,uas
563727.7835836391,5705630.350587303,68.0,treated,inoculated,uas
563735.4414686532,5705630.350587303,61.0,treated,inoculated,uas
563743.0993536672,5705630.350587303,71.0,treated,inoculated,uas
563712.4678136109,5705622.692702289,71.0,treated,inoculated,uas
563720.125698625,5705622.692702289,61.0,treated,inoculated,uas
563727.7835836391,5705622.692702289,64.0,treated,inoculated,uas
