x,y,das,treatment,area,source,date
563738.0118479715,5705698.498372911,157.0,treated,non-inoculated,observation,2022-09-04
563741.3709438059,5705698.498372911,153.0,treated,non-inoculated,observation,2022-08-31
563744.7300396404,5705698.498372911,164.0,treated,non-inoculated,observation,2022-09-11
563748.0891354749,5705698.498372911,167.0,treated,non-inoculated,observation,2022-09-14
563751.4482313093,5705698.498372911,167.0,treated,non-inoculated,observation,2022-09-14
563754.8073271438,5705698.498372911,167.0,treated,non-inoculated,observation,2022-09-14
563758.1664229783,5705698.498372911,167.0,treated,non-inoculated,observation,2022-09-14
563761.5255188127,5705698.498372911,166.0,treated,non-inoculated,observation,2022-09-13
563764.8846146471,5705698.498372911,167.0,treated,non-inoculated,observation,2022-09-14
563768.2437104817,5705698.498372911,166.0,treated,non-inoculated,observation,2022-09-13
563771.6028063161,5705698.498372911,167.0,treated,non-inoculated,observation,2022-09-14
563774.9619021505,5705698.498372911,167.0,treated,non-inoculated,observation,2022-09-14
563778.3209979851,5705698.498372911,167.0,treated,non-inoculated,observation,2022-09-14
563781.6800938195,5705698.498372911,166.0,treated,non-inoculated,observation,2022-09-13
563785.0391896539,5705698.498372911,166.0,treated,non-inoculated,observation,2022-09-13
563687.6254104545,5705695.139277075,166.0,treated,non-inoculated,observation,2022-09-13
563694.3436021234,5705695.139277075,167.0,treated,non-inoculated,observation,2022-09-14
563697.7026979579,5705695.139277075,167.0,treated,non-inoculated,observation,2022-09-14
563701.0617937924,5705695.139277075,167.0,treated,non-inoculated,observation,2022-09-14
563711.1390812957,5705695.139277075,167.0,treated,non-inoculated,observation,2022-09-14
563717.8572729647,5705695.139277075,167.0,treated,non-inoculated,observation,2022-09-14
563721.2163687991,5705695.139277075,167.0,treated,non-inoculated,observation,2022-09-14
563751.4482313093,5705695.139277075,162.0,treated,non-inoculated,observation,2022-09-09
563764.8846146471,5705695.139277075,167.0,treated,non-inoculated,observation,2022-09-14
563768.2437104817,5705695.139277075,167.0,treated,non-inoculated,observation,2022-09-14
563771.6028063161,5705695.139277075,155.0,treated,non-inoculated,observation,2022-09-02
563774.9619021505,5705695.139277075,167.0,treated,non-inoculated,observation,2022-09-14
